# Time-averaged data for fix globalout
# TimeStep v_ppress v_vvol v_llx v_lly v_llz v_ppe v_kke v_ppx v_ppy v_ppz
174000 12.1154 728968 40.2691 27.7199 653.049 -105108 53452.1 10.6485 19.6387 6.05909
175000 -14.4122 729739 40.2062 27.7983 652.914 -105153 53444.9 -11.9118 -21.6255 -9.69945
176000 1.60239 730082 40.2347 27.8081 652.529 -105124 53395.4 0.778223 1.72857 2.30036
177000 -4.27213 729256 40.215 27.7682 653.048 -105101 53469.8 19.3129 -22.2396 -9.88967
178000 7.22207 729198 40.2804 27.7239 652.976 -105158 53430.5 -3.53638 9.72971 15.4729
179000 -7.01608 730569 40.3122 27.752 653.027 -105103 53469.5 2.28429 -7.86406 -15.4685
180000 16.8994 729618 40.3492 27.6955 652.909 -105167 53473.3 -14.6548 39.2962 26.0567
181000 1.82152 729306 40.2136 27.7621 653.257 -105265 53444.3 10.2386 1.04272 -5.81675
182000 6.21815 729218 40.2156 27.773 652.891 -105398 53387.4 0.122473 1.82517 16.7068
183000 -4.77439 729194 40.3101 27.6905 653.278 -105226 53402.1 -26.3515 24.929 -12.9007
184000 1.93305 729965 40.2803 27.7539 652.96 -105218 53417 -0.526772 -5.46897 11.7949
185000 11.1521 729860 40.2589 27.7816 652.56 -105308 53385.4 38.6596 -5.58766 0.384269
186000 -21.7197 728997 40.3414 27.7208 651.883 -105256 53437.2 -53.2386 -5.25823 -6.66216
187000 11.2335 728696 40.2962 27.717 652.434 -105405 53391.7 19.5704 1.33546 12.7946
188000 -18.6351 729987 40.3648 27.7033 652.8 -105058 53466.7 -29.3015 -40.8422 14.2383
189000 14.1808 729284 40.3928 27.6594 652.755 -105177 53439.4 7.48952 33.7217 1.33134
190000 -1.24679 729188 40.3626 27.6892 652.454 -105364 53394.6 0.89223 -3.77175 -0.860865
191000 0.0878609 729504 40.3778 27.6778 652.759 -105164 53421 0.0596445 12.5773 -12.3734
192000 3.78431 729251 40.3267 27.7176 652.423 -105258 53428 13.8394 -0.964987 -1.52145
193000 14.3047 729343 40.2239 27.7764 652.788 -105183 53500 25.9931 -9.907 26.8281
194000 -12.6687 729523 40.2454 27.783 652.444 -105170 53387.6 -18.3015 -13.8188 -5.88581
195000 3.36699 729509 40.3046 27.7815 651.51 -105226 53433.9 -19.4163 1.46299 28.0543
196000 -7.1214 729424 40.2075 27.8359 651.73 -105281 53482 11.2409 -9.98056 -22.6245
197000 13.2165 729528 40.262 27.7667 652.565 -105293 53397 16.0321 23.9492 -0.331709
198000 -11.0252 729720 40.3868 27.6857 652.622 -105135 53489.5 -17.9277 -3.52046 -11.6276
199000 5.74871 729867 40.3238 27.73 652.729 -105195 53469.3 12.6773 1.29876 3.27007
200000 4.34799 729527 40.2958 27.7601 652.172 -105203 53496.6 12.3145 -13.7857 14.5151
201000 9.47647 728821 40.3273 27.726 651.83 -105398 53430.7 -4.5966 18.1243 14.9017
202000 -1.90697 728755 40.4156 27.6531 652.062 -105352 53504 -6.33172 4.08358 -3.47277
203000 1.59216 728284 40.2927 27.7052 652.399 -105359 53405.7 15.445 0.40396 -11.0725
204000 -13.4667 729006 40.2872 27.7399 652.317 -105470 53399.9 -14.54 -27.5094 1.64936
205000 7.0039 729350 40.3339 27.6928 652.98 -105388 53421.2 10.9391 15.6498 -5.57722
206000 -0.541789 728590 40.3281 27.6692 652.948 -105340 53453.9 -1.80651 14.092 -13.9109
207000 10.3715 729458 40.3446 27.7114 652.464 -105146 53443.7 10.7053 -0.689072 21.0983
208000 0.229356 728384 40.308 27.6847 652.724 -105175 53428.1 7.81759 5.95768 -13.0872
209000 1.78321 728720 40.2904 27.7307 652.227 -105124 53475.8 -18.0262 -2.15931 25.5352
210000 -6.13536 729414 40.281 27.7486 652.579 -105242 53449.7 10.5455 -21.7497 -7.20186
