# Time-averaged data for fix globalout
# TimeStep v_ppress v_vvol v_llx v_lly v_llz v_ppe v_kke v_ppx v_ppy v_ppz
182000 -711.522 730228 39.97 26.95 677.9 -106028 53430.5 -166.023 -35.4002 -1933.14
183000 -764.191 730228 39.97 26.95 677.9 -106165 53425.2 -143.094 -72.986 -2076.49
184000 -697.991 730228 39.97 26.95 677.9 -105915 53495.7 -144.671 43.4923 -1992.79
185000 -638.64 730228 39.97 26.95 677.9 -106129 53468.1 -70.1525 59.9504 -1905.72
186000 -667.433 730228 39.97 26.95 677.9 -105884 53485.2 -85.5709 1.58572 -1918.31
187000 -626.073 730228 39.97 26.95 677.9 -106143 53434.2 -113.638 80.6008 -1845.18
188000 -669.993 730228 39.97 26.95 677.9 -106176 53412 -108.621 58.5822 -1959.94
189000 -600.947 730228 39.97 26.95 677.9 -106105 53425.5 13.476 95.2846 -1911.6
190000 -607.263 730228 39.97 26.95 677.9 -106081 53445.1 24.7776 46.6355 -1893.2
191000 -633.581 730228 39.97 26.95 677.9 -106103 53448.3 -1.20145 -9.01051 -1890.53
192000 -690.454 730228 39.97 26.95 677.9 -106123 53404.1 -85.4374 63.8896 -2049.81
193000 -622.3 730228 39.97 26.95 677.9 -106166 53398.3 -25.7957 35.3368 -1876.44
194000 -659.445 730228 39.97 26.95 677.9 -106173 53441.3 -19.6537 -2.89165 -1955.79
195000 -733.56 730228 39.97 26.95 677.9 -106212 53389.5 -132.921 32.4566 -2100.22
196000 -683.706 730228 39.97 26.95 677.9 -106312 53390.1 -49.9575 -20.0413 -1981.12
197000 -617.947 730228 39.97 26.95 677.9 -105981 53520.6 1.80536 134.083 -1989.73
198000 -609.782 730228 39.97 26.95 677.9 -106054 53437.4 24.1382 99.7231 -1953.21
199000 -605.657 730228 39.97 26.95 677.9 -106005 53415.7 -2.78266 30.4956 -1844.68
200000 -567.813 730228 39.97 26.95 677.9 -106003 53403.3 94.8052 139.613 -1937.86
201000 -662.489 730228 39.97 26.95 677.9 -106017 53404.3 -100.052 77.8946 -1965.31
